"contador";"tiempo";"numero1";"numero2";"numero3";"jornada"
76;"00:01:15";0;1;15;Madrugada
77;"00:01:16";0;1;16;Madrugada
78;"00:01:17";0;1;17;Madrugada
79;"00:01:18";0;1;18;Madrugada
80;"00:01:19";0;1;19;Madrugada
81;"00:01:20";0;1;20;Madrugada
82;"00:01:21";0;1;21;Madrugada
83;"00:01:22";0;1;22;Madrugada
84;"00:01:23";0;1;23;Madrugada
85;"00:01:24";0;1;24;Madrugada
86;"00:01:25";0;1;25;Madrugada
87;"00:01:26";0;1;26;Madrugada
88;"00:01:27";0;1;27;Madrugada
89;"00:01:28";0;1;28;Madrugada
90;"00:01:29";0;1;29;Madrugada
91;"00:01:30";0;1;30;Madrugada
92;"00:01:31";0;1;31;Madrugada
93;"00:01:32";0;1;32;Madrugada
94;"00:01:33";0;1;33;Madrugada
95;"00:01:34";0;1;34;Madrugada
96;"00:01:35";0;1;35;Madrugada
97;"00:01:36";0;1;36;Madrugada
98;"00:01:37";0;1;37;Madrugada
99;"00:01:38";0;1;38;Madrugada
100;"00:01:39";0;1;39;Madrugada
101;"00:01:40";0;1;40;Madrugada
102;"00:01:41";0;1;41;Madrugada
103;"00:01:42";0;1;42;Madrugada
104;"00:01:43";0;1;43;Madrugada
105;"00:01:44";0;1;44;Madrugada
106;"00:01:45";0;1;45;Madrugada
107;"00:01:46";0;1;46;Madrugada
108;"00:01:47";0;1;47;Madrugada
109;"00:01:48";0;1;48;Madrugada
110;"00:01:49";0;1;49;Madrugada
111;"00:01:50";0;1;50;Madrugada
112;"00:01:51";0;1;51;Madrugada
113;"00:01:52";0;1;52;Madrugada
114;"00:01:53";0;1;53;Madrugada
115;"00:01:54";0;1;54;Madrugada
116;"00:01:55";0;1;55;Madrugada
117;"00:01:56";0;1;56;Madrugada
118;"00:01:57";0;1;57;Madrugada
119;"00:01:58";0;1;58;Madrugada
120;"00:01:59";0;1;59;Madrugada
121;"00:02:00";0;2;0;Madrugada
122;"00:02:01";0;2;1;Madrugada
123;"00:02:02";0;2;2;Madrugada
124;"00:02:03";0;2;3;Madrugada
125;"00:02:04";0;2;4;Madrugada
126;"00:02:05";0;2;5;Madrugada
127;"00:02:06";0;2;6;Madrugada
128;"00:02:07";0;2;7;Madrugada
129;"00:02:08";0;2;8;Madrugada
130;"00:02:09";0;2;9;Madrugada
131;"00:02:10";0;2;10;Madrugada
132;"00:02:11";0;2;11;Madrugada
133;"00:02:12";0;2;12;Madrugada
134;"00:02:13";0;2;13;Madrugada
135;"00:02:14";0;2;14;Madrugada
136;"00:02:15";0;2;15;Madrugada
137;"00:02:16";0;2;16;Madrugada
138;"00:02:17";0;2;17;Madrugada
139;"00:02:18";0;2;18;Madrugada
140;"00:02:19";0;2;19;Madrugada
141;"00:02:20";0;2;20;Madrugada
142;"00:02:21";0;2;21;Madrugada
143;"00:02:22";0;2;22;Madrugada
144;"00:02:23";0;2;23;Madrugada
145;"00:02:24";0;2;24;Madrugada
146;"00:02:25";0;2;25;Madrugada
147;"00:02:26";0;2;26;Madrugada
148;"00:02:27";0;2;27;Madrugada
149;"00:02:28";0;2;28;Madrugada
150;"00:02:29";0;2;29;Madrugada
151;"00:02:30";0;2;30;Madrugada
152;"00:02:31";0;2;31;Madrugada
153;"00:02:32";0;2;32;Madrugada
154;"00:02:33";0;2;33;Madrugada
155;"00:02:34";0;2;34;Madrugada
156;"00:02:35";0;2;35;Madrugada
157;"00:02:36";0;2;36;Madrugada
158;"00:02:37";0;2;37;Madrugada
159;"00:02:38";0;2;38;Madrugada
160;"00:02:39";0;2;39;Madrugada
161;"00:02:40";0;2;40;Madrugada
162;"00:02:41";0;2;41;Madrugada
163;"00:02:42";0;2;42;Madrugada
164;"00:02:43";0;2;43;Madrugada
165;"00:02:44";0;2;44;Madrugada
166;"00:02:45";0;2;45;Madrugada
167;"00:02:46";0;2;46;Madrugada
168;"00:02:47";0;2;47;Madrugada
169;"00:02:48";0;2;48;Madrugada
170;"00:02:49";0;2;49;Madrugada
171;"00:02:50";0;2;50;Madrugada
172;"00:02:51";0;2;51;Madrugada
173;"00:02:52";0;2;52;Madrugada
174;"00:02:53";0;2;53;Madrugada
175;"00:02:54";0;2;54;Madrugada
176;"00:02:55";0;2;55;Madrugada
177;"00:02:56";0;2;56;Madrugada
178;"00:02:57";0;2;57;Madrugada
179;"00:02:58";0;2;58;Madrugada
180;"00:02:59";0;2;59;Madrugada
181;"00:03:00";0;3;0;Madrugada
182;"00:03:01";0;3;1;Madrugada
183;"00:03:02";0;3;2;Madrugada
184;"00:03:03";0;3;3;Madrugada
185;"00:03:04";0;3;4;Madrugada
186;"00:03:05";0;3;5;Madrugada
187;"00:03:06";0;3;6;Madrugada
188;"00:03:07";0;3;7;Madrugada
189;"00:03:08";0;3;8;Madrugada
190;"00:03:09";0;3;9;Madrugada
191;"00:03:10";0;3;10;Madrugada
192;"00:03:11";0;3;11;Madrugada
193;"00:03:12";0;3;12;Madrugada
194;"00:03:13";0;3;13;Madrugada
195;"00:03:14";0;3;14;Madrugada
196;"00:03:15";0;3;15;Madrugada
197;"00:03:16";0;3;16;Madrugada
198;"00:03:17";0;3;17;Madrugada
199;"00:03:18";0;3;18;Madrugada
200;"00:03:19";0;3;19;Madrugada
201;"00:03:20";0;3;20;Madrugada
202;"00:03:21";0;3;21;Madrugada
203;"00:03:22";0;3;22;Madrugada
204;"00:03:23";0;3;23;Madrugada
205;"00:03:24";0;3;24;Madrugada
206;"00:03:25";0;3;25;Madrugada
207;"00:03:26";0;3;26;Madrugada
208;"00:03:27";0;3;27;Madrugada
209;"00:03:28";0;3;28;Madrugada
210;"00:03:29";0;3;29;Madrugada
211;"00:03:30";0;3;30;Madrugada
212;"00:03:31";0;3;31;Madrugada
213;"00:03:32";0;3;32;Madrugada
214;"00:03:33";0;3;33;Madrugada
215;"00:03:34";0;3;34;Madrugada
216;"00:03:35";0;3;35;Madrugada
217;"00:03:36";0;3;36;Madrugada
218;"00:03:37";0;3;37;Madrugada
219;"00:03:38";0;3;38;Madrugada
220;"00:03:39";0;3;39;Madrugada
221;"00:03:40";0;3;40;Madrugada
222;"00:03:41";0;3;41;Madrugada
223;"00:03:42";0;3;42;Madrugada
224;"00:03:43";0;3;43;Madrugada
225;"00:03:44";0;3;44;Madrugada
226;"00:03:45";0;3;45;Madrugada
227;"00:03:46";0;3;46;Madrugada
228;"00:03:47";0;3;47;Madrugada
229;"00:03:48";0;3;48;Madrugada
230;"00:03:49";0;3;49;Madrugada
231;"00:03:50";0;3;50;Madrugada
232;"00:03:51";0;3;51;Madrugada
233;"00:03:52";0;3;52;Madrugada
234;"00:03:53";0;3;53;Madrugada
235;"00:03:54";0;3;54;Madrugada
236;"00:03:55";0;3;55;Madrugada
237;"00:03:56";0;3;56;Madrugada
238;"00:03:57";0;3;57;Madrugada
239;"00:03:58";0;3;58;Madrugada
240;"00:03:59";0;3;59;Madrugada
241;"00:04:00";0;4;0;Madrugada
242;"00:04:01";0;4;1;Madrugada
243;"00:04:02";0;4;2;Madrugada
244;"00:04:03";0;4;3;Madrugada
245;"00:04:04";0;4;4;Madrugada
246;"00:04:05";0;4;5;Madrugada
247;"00:04:06";0;4;6;Madrugada
248;"00:04:07";0;4;7;Madrugada
249;"00:04:08";0;4;8;Madrugada
250;"00:04:09";0;4;9;Madrugada
251;"00:04:10";0;4;10;Madrugada
252;"00:04:11";0;4;11;Madrugada
253;"00:04:12";0;4;12;Madrugada
254;"00:04:13";0;4;13;Madrugada
255;"00:04:14";0;4;14;Madrugada
256;"00:04:15";0;4;15;Madrugada
257;"00:04:16";0;4;16;Madrugada
258;"00:04:17";0;4;17;Madrugada
259;"00:04:18";0;4;18;Madrugada
260;"00:04:19";0;4;19;Madrugada
261;"00:04:20";0;4;20;Madrugada
262;"00:04:21";0;4;21;Madrugada
263;"00:04:22";0;4;22;Madrugada
264;"00:04:23";0;4;23;Madrugada
265;"00:04:24";0;4;24;Madrugada
266;"00:04:25";0;4;25;Madrugada
267;"00:04:26";0;4;26;Madrugada
268;"00:04:27";0;4;27;Madrugada
269;"00:04:28";0;4;28;Madrugada
270;"00:04:29";0;4;29;Madrugada
271;"00:04:30";0;4;30;Madrugada
272;"00:04:31";0;4;31;Madrugada
273;"00:04:32";0;4;32;Madrugada
274;"00:04:33";0;4;33;Madrugada
275;"00:04:34";0;4;34;Madrugada
276;"00:04:35";0;4;35;Madrugada
277;"00:04:36";0;4;36;Madrugada
278;"00:04:37";0;4;37;Madrugada
279;"00:04:38";0;4;38;Madrugada
280;"00:04:39";0;4;39;Madrugada
281;"00:04:40";0;4;40;Madrugada
282;"00:04:41";0;4;41;Madrugada
283;"00:04:42";0;4;42;Madrugada
284;"00:04:43";0;4;43;Madrugada
285;"00:04:44";0;4;44;Madrugada
286;"00:04:45";0;4;45;Madrugada
287;"00:04:46";0;4;46;Madrugada
288;"00:04:47";0;4;47;Madrugada
289;"00:04:48";0;4;48;Madrugada
290;"00:04:49";0;4;49;Madrugada
291;"00:04:50";0;4;50;Madrugada
292;"00:04:51";0;4;51;Madrugada
293;"00:04:52";0;4;52;Madrugada
294;"00:04:53";0;4;53;Madrugada
295;"00:04:54";0;4;54;Madrugada
296;"00:04:55";0;4;55;Madrugada
297;"00:04:56";0;4;56;Madrugada
298;"00:04:57";0;4;57;Madrugada
299;"00:04:58";0;4;58;Madrugada
300;"00:04:59";0;4;59;Madrugada
301;"00:05:00";0;5;0;Madrugada
302;"00:05:01";0;5;1;Madrugada
303;"00:05:02";0;5;2;Madrugada
304;"00:05:03";0;5;3;Madrugada
305;"00:05:04";0;5;4;Madrugada
306;"00:05:05";0;5;5;Madrugada
307;"00:05:06";0;5;6;Madrugada
308;"00:05:07";0;5;7;Madrugada
309;"00:05:08";0;5;8;Madrugada
310;"00:05:09";0;5;9;Madrugada
311;"00:05:10";0;5;10;Madrugada
312;"00:05:11";0;5;11;Madrugada
313;"00:05:12";0;5;12;Madrugada
314;"00:05:13";0;5;13;Madrugada
315;"00:05:14";0;5;14;Madrugada
316;"00:05:15";0;5;15;Madrugada
317;"00:05:16";0;5;16;Madrugada
318;"00:05:17";0;5;17;Madrugada
319;"00:05:18";0;5;18;Madrugada
320;"00:05:19";0;5;19;Madrugada
321;"00:05:20";0;5;20;Madrugada
322;"00:05:21";0;5;21;Madrugada
323;"00:05:22";0;5;22;Madrugada
324;"00:05:23";0;5;23;Madrugada
325;"00:05:24";0;5;24;Madrugada
326;"00:05:25";0;5;25;Madrugada
327;"00:05:26";0;5;26;Madrugada
328;"00:05:27";0;5;27;Madrugada
329;"00:05:28";0;5;28;Madrugada
330;"00:05:29";0;5;29;Madrugada
331;"00:05:30";0;5;30;Madrugada
332;"00:05:31";0;5;31;Madrugada
333;"00:05:32";0;5;32;Madrugada
334;"00:05:33";0;5;33;Madrugada
335;"00:05:34";0;5;34;Madrugada
336;"00:05:35";0;5;35;Madrugada
337;"00:05:36";0;5;36;Madrugada
338;"00:05:37";0;5;37;Madrugada
339;"00:05:38";0;5;38;Madrugada
340;"00:05:39";0;5;39;Madrugada
341;"00:05:40";0;5;40;Madrugada
342;"00:05:41";0;5;41;Madrugada
343;"00:05:42";0;5;42;Madrugada
344;"00:05:43";0;5;43;Madrugada
345;"00:05:44";0;5;44;Madrugada
346;"00:05:45";0;5;45;Madrugada
347;"00:05:46";0;5;46;Madrugada
348;"00:05:47";0;5;47;Madrugada
349;"00:05:48";0;5;48;Madrugada
350;"00:05:49";0;5;49;Madrugada
351;"00:05:50";0;5;50;Madrugada
352;"00:05:51";0;5;51;Madrugada
353;"00:05:52";0;5;52;Madrugada
354;"00:05:53";0;5;53;Madrugada
355;"00:05:54";0;5;54;Madrugada
356;"00:05:55";0;5;55;Madrugada
357;"00:05:56";0;5;56;Madrugada
358;"00:05:57";0;5;57;Madrugada
359;"00:05:58";0;5;58;Madrugada
360;"00:05:59";0;5;59;Madrugada
361;"00:06:00";0;6;0;Madrugada
362;"00:06:01";0;6;1;Madrugada
363;"00:06:02";0;6;2;Madrugada
364;"00:06:03";0;6;3;Madrugada
365;"00:06:04";0;6;4;Madrugada
366;"00:06:05";0;6;5;Madrugada
367;"00:06:06";0;6;6;Madrugada
368;"00:06:07";0;6;7;Madrugada
369;"00:06:08";0;6;8;Madrugada
370;"00:06:09";0;6;9;Madrugada
371;"00:06:10";0;6;10;Madrugada
372;"00:06:11";0;6;11;Madrugada
373;"00:06:12";0;6;12;Madrugada
374;"00:06:13";0;6;13;Madrugada
375;"00:06:14";0;6;14;Madrugada
376;"00:06:15";0;6;15;Madrugada
377;"00:06:16";0;6;16;Madrugada
378;"00:06:17";0;6;17;Madrugada
379;"00:06:18";0;6;18;Madrugada
380;"00:06:19";0;6;19;Madrugada
381;"00:06:20";0;6;20;Madrugada
382;"00:06:21";0;6;21;Madrugada
383;"00:06:22";0;6;22;Madrugada
384;"00:06:23";0;6;23;Madrugada
385;"00:06:24";0;6;24;Madrugada
386;"00:06:25";0;6;25;Madrugada
387;"00:06:26";0;6;26;Madrugada
388;"00:06:27";0;6;27;Madrugada
389;"00:06:28";0;6;28;Madrugada
390;"00:06:29";0;6;29;Madrugada
391;"00:06:30";0;6;30;Madrugada
392;"00:06:31";0;6;31;Madrugada
393;"00:06:32";0;6;32;Madrugada
394;"00:06:33";0;6;33;Madrugada
395;"00:06:34";0;6;34;Madrugada
396;"00:06:35";0;6;35;Madrugada
397;"00:06:36";0;6;36;Madrugada
398;"00:06:37";0;6;37;Madrugada
399;"00:06:38";0;6;38;Madrugada
400;"00:06:39";0;6;39;Madrugada
401;"00:06:40";0;6;40;Madrugada
402;"00:06:41";0;6;41;Madrugada
403;"00:06:42";0;6;42;Madrugada
404;"00:06:43";0;6;43;Madrugada
405;"00:06:44";0;6;44;Madrugada
406;"00:06:45";0;6;45;Madrugada
407;"00:06:46";0;6;46;Madrugada
408;"00:06:47";0;6;47;Madrugada
409;"00:06:48";0;6;48;Madrugada
410;"00:06:49";0;6;49;Madrugada
411;"00:06:50";0;6;50;Madrugada
412;"00:06:51";0;6;51;Madrugada
413;"00:06:52";0;6;52;Madrugada
414;"00:06:53";0;6;53;Madrugada
415;"00:06:54";0;6;54;Madrugada
416;"00:06:55";0;6;55;Madrugada
417;"00:06:56";0;6;56;Madrugada
418;"00:06:57";0;6;57;Madrugada
419;"00:06:58";0;6;58;Madrugada
420;"00:06:59";0;6;59;Madrugada
421;"00:07:00";0;7;0;Madrugada
422;"00:07:01";0;7;1;Madrugada
423;"00:07:02";0;7;2;Madrugada
424;"00:07:03";0;7;3;Madrugada
425;"00:07:04";0;7;4;Madrugada
426;"00:07:05";0;7;5;Madrugada
427;"00:07:06";0;7;6;Madrugada
428;"00:07:07";0;7;7;Madrugada
429;"00:07:08";0;7;8;Madrugada
430;"00:07:09";0;7;9;Madrugada
431;"00:07:10";0;7;10;Madrugada
432;"00:07:11";0;7;11;Madrugada
433;"00:07:12";0;7;12;Madrugada
434;"00:07:13";0;7;13;Madrugada
435;"00:07:14";0;7;14;Madrugada
436;"00:07:15";0;7;15;Madrugada
437;"00:07:16";0;7;16;Madrugada
438;"00:07:17";0;7;17;Madrugada
439;"00:07:18";0;7;18;Madrugada
440;"00:07:19";0;7;19;Madrugada
441;"00:07:20";0;7;20;Madrugada
442;"00:07:21";0;7;21;Madrugada
443;"00:07:22";0;7;22;Madrugada
444;"00:07:23";0;7;23;Madrugada
445;"00:07:24";0;7;24;Madrugada
446;"00:07:25";0;7;25;Madrugada
447;"00:07:26";0;7;26;Madrugada
448;"00:07:27";0;7;27;Madrugada
449;"00:07:28";0;7;28;Madrugada
450;"00:07:29";0;7;29;Madrugada
451;"00:07:30";0;7;30;Madrugada
452;"00:07:31";0;7;31;Madrugada
453;"00:07:32";0;7;32;Madrugada
454;"00:07:33";0;7;33;Madrugada
455;"00:07:34";0;7;34;Madrugada
456;"00:07:35";0;7;35;Madrugada
457;"00:07:36";0;7;36;Madrugada
458;"00:07:37";0;7;37;Madrugada
459;"00:07:38";0;7;38;Madrugada
460;"00:07:39";0;7;39;Madrugada
461;"00:07:40";0;7;40;Madrugada
462;"00:07:41";0;7;41;Madrugada
463;"00:07:42";0;7;42;Madrugada
464;"00:07:43";0;7;43;Madrugada
465;"00:07:44";0;7;44;Madrugada
466;"00:07:45";0;7;45;Madrugada
467;"00:07:46";0;7;46;Madrugada
468;"00:07:47";0;7;47;Madrugada
469;"00:07:48";0;7;48;Madrugada
470;"00:07:49";0;7;49;Madrugada
471;"00:07:50";0;7;50;Madrugada
472;"00:07:51";0;7;51;Madrugada
473;"00:07:52";0;7;52;Madrugada
474;"00:07:53";0;7;53;Madrugada
475;"00:07:54";0;7;54;Madrugada
476;"00:07:55";0;7;55;Madrugada
477;"00:07:56";0;7;56;Madrugada
478;"00:07:57";0;7;57;Madrugada
479;"00:07:58";0;7;58;Madrugada
480;"00:07:59";0;7;59;Madrugada
481;"00:08:00";0;8;0;Madrugada
482;"00:08:01";0;8;1;Madrugada
483;"00:08:02";0;8;2;Madrugada
484;"00:08:03";0;8;3;Madrugada
485;"00:08:04";0;8;4;Madrugada
486;"00:08:05";0;8;5;Madrugada
487;"00:08:06";0;8;6;Madrugada
488;"00:08:07";0;8;7;Madrugada
489;"00:08:08";0;8;8;Madrugada
490;"00:08:09";0;8;9;Madrugada
491;"00:08:10";0;8;10;Madrugada
492;"00:08:11";0;8;11;Madrugada
493;"00:08:12";0;8;12;Madrugada
494;"00:08:13";0;8;13;Madrugada
495;"00:08:14";0;8;14;Madrugada
496;"00:08:15";0;8;15;Madrugada
497;"00:08:16";0;8;16;Madrugada
498;"00:08:17";0;8;17;Madrugada
499;"00:08:18";0;8;18;Madrugada
500;"00:08:19";0;8;19;Madrugada
501;"00:08:20";0;8;20;Madrugada
502;"00:08:21";0;8;21;Madrugada
503;"00:08:22";0;8;22;Madrugada
504;"00:08:23";0;8;23;Madrugada
505;"00:08:24";0;8;24;Madrugada
506;"00:08:25";0;8;25;Madrugada
507;"00:08:26";0;8;26;Madrugada
508;"00:08:27";0;8;27;Madrugada
509;"00:08:28";0;8;28;Madrugada
510;"00:08:29";0;8;29;Madrugada
511;"00:08:30";0;8;30;Madrugada
512;"00:08:31";0;8;31;Madrugada
513;"00:08:32";0;8;32;Madrugada
514;"00:08:33";0;8;33;Madrugada
515;"00:08:34";0;8;34;Madrugada
516;"00:08:35";0;8;35;Madrugada
517;"00:08:36";0;8;36;Madrugada
518;"00:08:37";0;8;37;Madrugada
519;"00:08:38";0;8;38;Madrugada
520;"00:08:39";0;8;39;Madrugada
521;"00:08:40";0;8;40;Madrugada
522;"00:08:41";0;8;41;Madrugada
523;"00:08:42";0;8;42;Madrugada
524;"00:08:43";0;8;43;Madrugada
525;"00:08:44";0;8;44;Madrugada
526;"00:08:45";0;8;45;Madrugada
527;"00:08:46";0;8;46;Madrugada
528;"00:08:47";0;8;47;Madrugada
529;"00:08:48";0;8;48;Madrugada
530;"00:08:49";0;8;49;Madrugada
531;"00:08:50";0;8;50;Madrugada
532;"00:08:51";0;8;51;Madrugada
533;"00:08:52";0;8;52;Madrugada
534;"00:08:53";0;8;53;Madrugada
535;"00:08:54";0;8;54;Madrugada
536;"00:08:55";0;8;55;Madrugada
537;"00:08:56";0;8;56;Madrugada
538;"00:08:57";0;8;57;Madrugada
539;"00:08:58";0;8;58;Madrugada
540;"00:08:59";0;8;59;Madrugada
541;"00:09:00";0;9;0;Madrugada
542;"00:09:01";0;9;1;Madrugada
543;"00:09:02";0;9;2;Madrugada
544;"00:09:03";0;9;3;Madrugada
545;"00:09:04";0;9;4;Madrugada
546;"00:09:05";0;9;5;Madrugada
547;"00:09:06";0;9;6;Madrugada
548;"00:09:07";0;9;7;Madrugada
549;"00:09:08";0;9;8;Madrugada
550;"00:09:09";0;9;9;Madrugada
551;"00:09:10";0;9;10;Madrugada
552;"00:09:11";0;9;11;Madrugada
553;"00:09:12";0;9;12;Madrugada
554;"00:09:13";0;9;13;Madrugada
555;"00:09:14";0;9;14;Madrugada
556;"00:09:15";0;9;15;Madrugada
557;"00:09:16";0;9;16;Madrugada
558;"00:09:17";0;9;17;Madrugada
559;"00:09:18";0;9;18;Madrugada
560;"00:09:19";0;9;19;Madrugada
561;"00:09:20";0;9;20;Madrugada
562;"00:09:21";0;9;21;Madrugada
563;"00:09:22";0;9;22;Madrugada
564;"00:09:23";0;9;23;Madrugada
565;"00:09:24";0;9;24;Madrugada
566;"00:09:25";0;9;25;Madrugada
567;"00:09:26";0;9;26;Madrugada
568;"00:09:27";0;9;27;Madrugada
569;"00:09:28";0;9;28;Madrugada
570;"00:09:29";0;9;29;Madrugada
571;"00:09:30";0;9;30;Madrugada
572;"00:09:31";0;9;31;Madrugada
573;"00:09:32";0;9;32;Madrugada
574;"00:09:33";0;9;33;Madrugada
575;"00:09:34";0;9;34;Madrugada
576;"00:09:35";0;9;35;Madrugada
577;"00:09:36";0;9;36;Madrugada
578;"00:09:37";0;9;37;Madrugada
579;"00:09:38";0;9;38;Madrugada
580;"00:09:39";0;9;39;Madrugada
581;"00:09:40";0;9;40;Madrugada
582;"00:09:41";0;9;41;Madrugada
583;"00:09:42";0;9;42;Madrugada
584;"00:09:43";0;9;43;Madrugada
585;"00:09:44";0;9;44;Madrugada
586;"00:09:45";0;9;45;Madrugada
587;"00:09:46";0;9;46;Madrugada
588;"00:09:47";0;9;47;Madrugada
589;"00:09:48";0;9;48;Madrugada
590;"00:09:49";0;9;49;Madrugada
591;"00:09:50";0;9;50;Madrugada
592;"00:09:51";0;9;51;Madrugada
593;"00:09:52";0;9;52;Madrugada
594;"00:09:53";0;9;53;Madrugada
595;"00:09:54";0;9;54;Madrugada
596;"00:09:55";0;9;55;Madrugada
597;"00:09:56";0;9;56;Madrugada
598;"00:09:57";0;9;57;Madrugada
599;"00:09:58";0;9;58;Madrugada
600;"00:09:59";0;9;59;Madrugada
601;"00:10:00";0;10;0;Madrugada
602;"00:10:01";0;10;1;Madrugada
603;"00:10:02";0;10;2;Madrugada
604;"00:10:03";0;10;3;Madrugada
605;"00:10:04";0;10;4;Madrugada
606;"00:10:05";0;10;5;Madrugada
607;"00:10:06";0;10;6;Madrugada
608;"00:10:07";0;10;7;Madrugada
609;"00:10:08";0;10;8;Madrugada
610;"00:10:09";0;10;9;Madrugada
611;"00:10:10";0;10;10;Madrugada
612;"00:10:11";0;10;11;Madrugada
613;"00:10:12";0;10;12;Madrugada
614;"00:10:13";0;10;13;Madrugada
615;"00:10:14";0;10;14;Madrugada
616;"00:10:15";0;10;15;Madrugada
617;"00:10:16";0;10;16;Madrugada
618;"00:10:17";0;10;17;Madrugada
619;"00:10:18";0;10;18;Madrugada
620;"00:10:19";0;10;19;Madrugada
621;"00:10:20";0;10;20;Madrugada
622;"00:10:21";0;10;21;Madrugada
623;"00:10:22";0;10;22;Madrugada
624;"00:10:23";0;10;23;Madrugada
625;"00:10:24";0;10;24;Madrugada
626;"00:10:25";0;10;25;Madrugada
627;"00:10:26";0;10;26;Madrugada
628;"00:10:27";0;10;27;Madrugada
629;"00:10:28";0;10;28;Madrugada
630;"00:10:29";0;10;29;Madrugada
631;"00:10:30";0;10;30;Madrugada
632;"00:10:31";0;10;31;Madrugada
633;"00:10:32";0;10;32;Madrugada
634;"00:10:33";0;10;33;Madrugada
635;"00:10:34";0;10;34;Madrugada
636;"00:10:35";0;10;35;Madrugada
637;"00:10:36";0;10;36;Madrugada
638;"00:10:37";0;10;37;Madrugada
639;"00:10:38";0;10;38;Madrugada
640;"00:10:39";0;10;39;Madrugada
641;"00:10:40";0;10;40;Madrugada
642;"00:10:41";0;10;41;Madrugada
643;"00:10:42";0;10;42;Madrugada
644;"00:10:43";0;10;43;Madrugada
645;"00:10:44";0;10;44;Madrugada
646;"00:10:45";0;10;45;Madrugada
647;"00:10:46";0;10;46;Madrugada
648;"00:10:47";0;10;47;Madrugada
649;"00:10:48";0;10;48;Madrugada
650;"00:10:49";0;10;49;Madrugada
651;"00:10:50";0;10;50;Madrugada
652;"00:10:51";0;10;51;Madrugada
653;"00:10:52";0;10;52;Madrugada
654;"00:10:53";0;10;53;Madrugada
655;"00:10:54";0;10;54;Madrugada
656;"00:10:55";0;10;55;Madrugada
657;"00:10:56";0;10;56;Madrugada
658;"00:10:57";0;10;57;Madrugada
659;"00:10:58";0;10;58;Madrugada
660;"00:10:59";0;10;59;Madrugada
661;"00:11:00";0;11;0;Madrugada
662;"00:11:01";0;11;1;Madrugada
663;"00:11:02";0;11;2;Madrugada
664;"00:11:03";0;11;3;Madrugada
